_id,Category,Status,Estimated Total Budget ($),Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Latitude,Longitude,Target_Year
45,Communities,Complete,18900,0,1,0,0,43.730964,-79.429606,2025
46,Communities,Complete,14300,0,1,0,0,43.726082,-79.426837,2025
47,Communities,Complete,22300,0,1,0,0,43.776978,-79.42111,2025
51,Communities,Under construction,390000,0,1,0,0,43.697081,-79.392812,2025
52,Communities,Under construction,254000,0,1,0,0,43.734753,-79.380527,2025
53,Education,Complete,27700000,0,1,1,1,44.412167,-79.668206,2025
54,Education,Complete,3200000,0,1,1,1,44.177,-77.389367,2025
55,Education,Complete,60700000,0,1,1,1,46.466651,-80.974417,2025
56,Education,Complete,0,0,1,0,1,46.493067,-80.996585,2025
57,Education,Complete,37650000,0,1,0,1,43.528436,-80.22352,2025
58,Education,Complete,78225000,0,1,1,1,43.260405,-79.92172,2025
59,Education,Complete,45500000,0,1,0,1,43.261943,-79.916687,2025
60,Education,Complete,0,0,0,1,1,43.23869,-79.888071,2025
61,Education,Complete,0,0,1,0,1,43.955689,-79.51003,2025
62,Education,Complete,31834810,0,1,1,1,44.224388,-76.491475,2025
